High Memory Usage Report - Generated on: Wed, Aug  6, 2025  3:54:20 PM
      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
     1855    1854    1851      10456  cons1     197609 15:54:20 /usr/bin/ps
     1851    1689    1851      25732  cons1     197609 15:54:20 /usr/bin/bash
     1689       1    1689       2996  cons1     197609 15:38:28 /usr/bin/bash
     1854    1851    1851      22768  cons1     197609 15:54:20 /usr/bin/bash
High Memory Usage Report - Generated on: Wed, Aug  6, 2025  3:54:49 PM
      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
     1881    1880    1877      25276  cons1     197609 15:54:49 /usr/bin/ps
     1877    1689    1877      20264  cons1     197609 15:54:49 /usr/bin/bash
     1689       1    1689       2996  cons1     197609 15:38:28 /usr/bin/bash
     1880    1877    1877      13252  cons1     197609 15:54:49 /usr/bin/bash
